company,title,job_url,source,description,job_id,location,remote_type
stripe,Life at Stripe,https://job-boards.greenhouse.io/jobs/life-at-stripe,greenhouse,,1,Unknown,Unknown
stripe,Benefits,https://job-boards.greenhouse.io/jobs/benefits,greenhouse,,2,Unknown,Unknown
stripe,University,https://job-boards.greenhouse.io/jobs/university,greenhouse,,3,Unknown,Unknown
stripe,See open roles,https://job-boards.greenhouse.io/jobs/search,greenhouse,,4,Unknown,Unknown
stripe,Bridge open roles,https://job-boards.greenhouse.io/jobs/search?tags=Bridge,greenhouse,,5,Unknown,Unknown
stripe,Privy open roles,https://job-boards.greenhouse.io/jobs/search?tags=Privy,greenhouse,,6,Unknown,Unknown
stripe,Account Executive - Enterprise Germany,https://job-boards.greenhouse.io/jobs/listing/account-executive-enterprise-germany/7825578,greenhouse,,7,Unknown,Unknown
stripe,"Account Executive - Startups, India",https://job-boards.greenhouse.io/jobs/listing/account-executive-startups-india/7597490,greenhouse,,8,Unknown,Unknown
stripe,Account Executive (New Business - Portuguese Market),https://job-boards.greenhouse.io/jobs/listing/account-executive-new-business-portuguese-market/7908925,greenhouse,,9,Unknown,Unknown
stripe,"Account Executive, AI Sales",https://job-boards.greenhouse.io/jobs/listing/account-executive-ai-sales/7546284,greenhouse,,10,Unknown,Unknown
stripe,"Account Executive, AI Sales",https://job-boards.greenhouse.io/jobs/listing/account-executive-ai-sales/7532733,greenhouse,,11,Unknown,Unknown
stripe,"Account Executive, Commercial (Hunter)",https://job-boards.greenhouse.io/jobs/listing/account-executive-commercial-hunter/7863714,greenhouse,,12,Unknown,Unknown
stripe,"Account Executive, Cross Border China",https://job-boards.greenhouse.io/jobs/listing/account-executive-cross-border-china/7893199,greenhouse,,13,Unknown,Unknown
stripe,"Account Executive, Enterprise",https://job-boards.greenhouse.io/jobs/listing/account-executive-enterprise/7717676,greenhouse,,14,Unknown,Unknown
stripe,"Account Executive, Enterprise - Billing (Existing Business)",https://job-boards.greenhouse.io/jobs/listing/account-executive-enterprise-billing-existing-business/7607568,greenhouse,,15,Unknown,Unknown
stripe,"Account Executive, Enterprise (Hunter)",https://job-boards.greenhouse.io/jobs/listing/account-executive-enterprise-hunter/7458833,greenhouse,,16,Unknown,Unknown
stripe,"Account Executive, Enterprise (Hunter), Japan",https://job-boards.greenhouse.io/jobs/listing/account-executive-enterprise-hunter-japan/7528816,greenhouse,,17,Unknown,Unknown
stripe,"Account Executive, Platforms (Existing Business)",https://job-boards.greenhouse.io/jobs/listing/account-executive-platforms-existing-business/7576967,greenhouse,,18,Unknown,Unknown
stripe,"Account Executive, Platforms (French Speaking)",https://job-boards.greenhouse.io/jobs/listing/account-executive-platforms-french-speaking/7451383,greenhouse,,19,Unknown,Unknown
stripe,"Account Executive, Platforms (Hunter)",https://job-boards.greenhouse.io/jobs/listing/account-executive-platforms-hunter/7857010,greenhouse,,20,Unknown,Unknown
stripe,"Account Executive, Platforms (Italian Speaking) - Grower",https://job-boards.greenhouse.io/jobs/listing/account-executive-platforms-italian-speaking-grower/7852222,greenhouse,,21,Unknown,Unknown
stripe,"Account Executive, Product - Buy Now Pay Later",https://job-boards.greenhouse.io/jobs/listing/account-executive-product-buy-now-pay-later/7675661,greenhouse,,22,Unknown,Unknown
stripe,"Account Executive, Product Sales - Capital",https://job-boards.greenhouse.io/jobs/listing/account-executive-product-sales-capital/7728365,greenhouse,,23,Unknown,Unknown
stripe,"Account Executive, Product Sales - Payouts",https://job-boards.greenhouse.io/jobs/listing/account-executive-product-sales-payouts/7782969,greenhouse,,24,Unknown,Unknown
stripe,"Account Executive, Product Sales (Tax)",https://job-boards.greenhouse.io/jobs/listing/account-executive-product-sales-tax/7940059,greenhouse,,25,Unknown,Unknown
stripe,"Account Executive, Product Sales, Billing",https://job-boards.greenhouse.io/jobs/listing/account-executive-product-sales-billing/7393169,greenhouse,,26,Unknown,Unknown
stripe,"Account Executive, SMB - New Business",https://job-boards.greenhouse.io/jobs/listing/account-executive-smb-new-business/7904613,greenhouse,,27,Unknown,Unknown
stripe,"Account Executive, SMB (Hunter)",https://job-boards.greenhouse.io/jobs/listing/account-executive-smb-hunter/7931247,greenhouse,,28,Unknown,Unknown
